handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
SFO10,Product,Barley Semolina Fine 10kg,10kg X 1,acbaa7_1b1af29be24241eea2262c89ab6ea89d~mv2.jpg,Others;Semolina;Wholesale Orders,SFO10,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SFR0,4",Product,"Pure Saffron Of Morocco ( Taliouine) L'or Rouge 0,4g X 25","0,4g X 25",acbaa7_154baa77f829411cb0b7b58ec30a8f59~mv2.jpg,Sauces Spice & Herbs;Wholesale Orders,"SFR0,4",,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG25,Product,Wheat Semolina Thick 25kg,25kg X 1,,Others;Semolina;Wholesale Orders,SG25,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGA1kg,Product,Glucose Syrup Honey Flavor Assal 1kg,1kg X 12,acbaa7_cfa379c198a64fe681c14abf4b1facdb~mv2.jpg,Pastry Preparation;Wholesale Orders,SGA1kg,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGA2kg,Product,Glucose Syrup Honey Flavor Assal 2kg,2kg X 8,acbaa7_4c74bfc556904e71bc19c2ec211eba90~mv2.jpg,Pastry Preparation;Wholesale Orders,SGA2kg,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGO10,Product,Barley Semolina Thick 10kg,10kg X 1,acbaa7_5e6731e16a574be48860c1de097f8e78~mv2.jpg,Others;Semolina;Wholesale Orders,SGO10,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHM,Product,Sauce Harissa Star Du Maroc 170g X 12,170g X 12,,Sauces & Harissa & Vinegar;Wholesale Orders,SHM,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKL,Product,Sugar Kaleb 2 Kg X 8,2kg X 8,acbaa7_7eaa10d4cc194d68b25e017c95b2767f~mv2.jpg,Others;Wholesale Orders,SKL,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKS1,Product,Sugar Kaleb 1 Kg X8,1kg X 8,acbaa7_4e340c43851d4879a1514e770105acd8~mv2.jpg,Others;Wholesale Orders,SKS1,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC,Product,Sugar Ingo Cosumar 1 Kg,1kg X 5,acbaa7_4868e01be55f46f5891ceb88220b4486~mv2.jpg,Others;Wholesale Orders,SLC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM1/6,Product,Salad Mechouia 135g,135g X 50,,Sauces & Harissa & Vinegar;Wholesale Orders,SM1/6,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM25,Product,Wheat Semolina Fine 25kg,25kg X 1,,Others;Semolina;Wholesale Orders,SM25,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMF1.5,Product,Wheat Semolina Fine 1.5kg,1.5kg X 1,,Others;Semolina;Wholesale Orders,SMF1.5,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMG1.5,Product,Wheat Semolina Thick 1.5kg,1.5kg X 1,,Others;Semolina;Wholesale Orders,SMG1.5,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO400g,Product,Olives Salad Oualili 400g,400g X 6,acbaa7_261174349ef04010bdbaf592c209d01e~mv2.jpg,Olives;Wholesale Orders,SO400g,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO8kg,Product,Olives Salad Oualili 8 Kg,8kg X 1,acbaa7_96f60ec51ba24bc8a4584e8779ec0838~mv2.jpg,Olives;Wholesale Orders,SO8kg,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOF750,Product,Barley Semolina Fine 750g,750g X 10,,Others;Semolina;Wholesale Orders,SOF750,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOG750,Product,Barley Semolina Thick 750g,750g X 10,,Others;Semolina;Wholesale Orders,SOG750,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPC,Product,Sugar Small Cube Cosumar 1 Kg,1kg X 5,,Others;Wholesale Orders,SPC,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSBHT,Product,Balls Sardines With Sunflower Oil Safi,120g X 50,acbaa7_016f159a0d184c6ea2610d9ca34705cb~mv2.jpg,Sardines & Tuna;Wholesale Orders,SSBHT,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSBST,Product,Balls De Sardines With Tomato Sauce Safi,120g X 50,acbaa7_9f553982502341f087794434423fa3f3~mv2.jpg,Sardines & Tuna;Wholesale Orders,SSBST,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE100,Product,Paté Of Sardines With Cumin Essaouirade,100g X 24,acbaa7_c2d69530f4a94e9f969295410acb2078~mv2.jpg,Sardines & Tuna;Wholesale Orders,SSE100,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSHP120,Product,Safi Sardines With Sunflwer Oil & Chili Pepper,125g X 50,acbaa7_2a858ac11739459da78960fc9d068e8b~mv2.jpg,Sardines & Tuna;Wholesale Orders,SSHP120,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSHT120,Product,Safi Sardines With Sunflower Oil,125g X 50,acbaa7_bec3195fad8247a4ba79cc4bb1e05ef4~mv2.jpg,Sardines & Tuna;Wholesale Orders,SSHT120,,0.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
